Year,Week,SKU,Category,Size,Total_Qty,Total_Amount,Avg_Price,Max_Price,Min_Price,Std_Price,Has_Promotion,Transaction_Count,Start_Date,End_Date,Week_ID,Date
2022,13,J0025-DR-XL,Western Dress,XL,1,714.0,714.0,714.0,714.0,0.0,1,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0033-KR-XXL,kurta,XXL,1,425.0,425.0,425.0,425.0,0.0,0,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,J0034-SET-XL,Set,XL,1,743.0,743.0,743.0,743.0,0.0,1,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0041-SET-XL,Set,XL,1,899.0,899.0,899.0,899.0,0.0,0,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,J0041-SET-XS,Set,XS,1,899.0,899.0,899.0,899.0,0.0,0,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0044-TP-S,Top,S,1,299.0,299.0,299.0,299.0,0.0,0,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0047-TP-XL,Top,XL,1,346.0,346.0,346.0,346.0,0.0,1,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0048-TP-S,Top,S,1,333.0,333.0,333.0,333.0,0.0,1,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,J0055-SET-XS,Set,XS,1,935.0,935.0,935.0,935.0,0.0,0,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0062-DR-XXL,Western Dress,XXL,1,499.0,499.0,499.0,499.0,0.0,1,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0077-SKD-M,Set,M,1,1170.0,1170.0,1170.0,1170.0,0.0,0,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,J0077-SKD-S,Set,S,1,1170.0,1170.0,1170.0,1170.0,0.0,1,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0077-SKD-XXXL,Set,3XL,1,1170.0,1170.0,1170.0,1170.0,0.0,1,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,J0078-SET-S,Set,S,2,1998.0,999.0,999.0,999.0,0.0,1,2,2022-04-01,2022-04-02,2022-W13,2022-04-01
2022,13,J0080-TP-XS,Top,XS,1,678.0,678.0,678.0,678.0,0.0,1,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0081-DR-XL,Western Dress,XL,1,869.0,869.0,869.0,869.0,0.0,0,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,J0091-TP-XXL,Top,XXL,2,598.0,299.0,299.0,299.0,0.0,0,2,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,J0092-SET-XL,Set,XL,3,2997.0,999.0,999.0,999.0,0.0,1,3,2022-04-01,2022-04-03,2022-W13,2022-04-01
2022,13,J0094-KR-L,kurta,L,1,563.0,563.0,563.0,563.0,0.0,1,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0094-KR-XXXL,kurta,3XL,2,1126.0,563.0,563.0,563.0,0.0,1,2,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0095-SET-L,Set,L,1,647.0,647.0,647.0,647.0,0.0,0,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,J0095-SET-M,Set,M,3,1941.0,647.0,647.0,647.0,0.0,1,3,2022-04-01,2022-04-02,2022-W13,2022-04-01
2022,13,J0095-SET-S,Set,S,1,647.0,647.0,647.0,647.0,0.0,1,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0095-SET-XL,Set,XL,3,1941.0,647.0,647.0,647.0,0.0,1,3,2022-04-01,2022-04-03,2022-W13,2022-04-01
2022,13,J0095-SET-XS,Set,XS,1,647.0,647.0,647.0,647.0,0.0,1,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0095-SET-XXL,Set,XXL,1,647.0,647.0,647.0,647.0,0.0,0,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0095-SET-XXXL,Set,3XL,5,3235.0,647.0,647.0,647.0,0.0,1,5,2022-04-01,2022-04-03,2022-W13,2022-04-01
2022,13,J0096-KR-XXL,kurta,XXL,2,1122.0,561.0,561.0,561.0,0.0,1,2,2022-03-31,2022-04-01,2022-W13,2022-03-31
2022,13,J0096-KR-XXXL,kurta,3XL,2,1122.0,561.0,561.0,561.0,0.0,1,2,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0097-KR-S,kurta,S,3,1683.0,561.0,561.0,561.0,0.0,0,3,2022-04-02,2022-04-03,2022-W13,2022-04-02
2022,13,J0097-KR-XL,kurta,XL,3,1584.0,528.0,528.0,528.0,0.0,1,3,2022-04-01,2022-04-02,2022-W13,2022-04-01
2022,13,J0097-KR-XS,kurta,XS,3,1617.0,539.0,561.0,528.0,19.05255888325765,1,3,2022-04-01,2022-04-03,2022-W13,2022-04-01
2022,13,J0097-KR-XXXL,kurta,3XL,1,528.0,528.0,528.0,528.0,0.0,0,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0098-TP-L,Top,L,1,426.0,426.0,426.0,426.0,0.0,1,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0098-TP-XXXL,Top,3XL,1,413.0,413.0,413.0,413.0,0.0,0,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0103-SKD-S,Set,S,1,1354.0,1354.0,1354.0,1354.0,0.0,1,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,J0104-KR-S,kurta,S,2,884.0,442.0,442.0,442.0,0.0,1,2,2022-04-01,2022-04-03,2022-W13,2022-04-01
2022,13,J0104-KR-XL,kurta,XL,1,442.0,442.0,442.0,442.0,0.0,0,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0106-KR-XL,Western Dress,XL,1,1399.0,1399.0,1399.0,1399.0,0.0,1,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,J0108-SKD-XXL,Set,XXL,1,1166.0,1166.0,1166.0,1166.0,0.0,1,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0109-SKD-XXL,Set,XXL,1,1228.0,1228.0,1228.0,1228.0,0.0,1,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0111-TP-XS,Top,XS,1,423.0,423.0,423.0,423.0,0.0,0,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0111-TP-XXL,Top,XXL,1,423.0,423.0,423.0,423.0,0.0,0,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0112-TP-L,Top,L,1,354.0,354.0,354.0,354.0,0.0,0,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0112-TP-M,Top,M,1,354.0,354.0,354.0,354.0,0.0,1,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,J0112-TP-S,Top,S,2,708.0,354.0,354.0,354.0,0.0,1,2,2022-04-01,2022-04-02,2022-W13,2022-04-01
2022,13,J0112-TP-XL,Top,XL,2,708.0,354.0,354.0,354.0,0.0,1,2,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0112-TP-XXXL,Top,3XL,1,354.0,354.0,354.0,354.0,0.0,1,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0113-TP-M,Top,M,1,798.0,798.0,798.0,798.0,0.0,0,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
